Date,AccountID,AccountName,orderid,OrderCreateDate,OrderStatus,OrderStatusReason,FirstSuspended,PrePaidAccounts,ExpectedCartRuns,FOMCardRuns,FOM_Successful_CardRuns,Total_Payment_Attempts,SuccessfulPayments,CurrentBalance,CancelledCase,Cancel_CaseCreateDate
2026-09-01,25350,Minnesota Caregiver Services,31173,2026-06-24,Suspended,InsufficientBalance,2026-07-09,1,1,1,0,1,0,0.00,0,
2026-09-01,24514,"Rafael Residential Service Agency, LLC",30142,2026-04-29,Suspended,InsufficientBalance,2026-06-28,1,1,1,0,2,0,0.00,0,
2026-09-01,25174,"Jolly Homecare, LLC",30953,2026-06-11,Suspended,Account Suspended,2026-09-01,1,1,1,0,1,0,-232.00,0,
2026-09-01,21249,PrimeCare Providers LLC,31673,2026-07-22,Suspended,InsufficientBalance,2026-08-14,1,1,1,0,2,0,0.00,0,
2026-09-01,25141,Expert Care,30913,2026-06-10,Suspended,Account Suspended,2026-09-01,1,1,1,0,1,0,-58.00,0,
2026-09-01,24012,Able Homecare Services LLC (Florida),29531,2026-03-25,Suspended,InsufficientBalance,2026-07-01,1,1,1,0,2,0,0.00,0,
2026-09-01,24358,Allied Home Care LLC,31451,2026-07-09,Suspended,InsufficientBalance,2026-09-01,1,1,5,0,5,0,0.00,0,
2026-09-01,22950,Integral Home Health,28184,2026-01-13,Suspended,InsufficientBalance,2026-08-23,1,1,1,0,2,0,0.00,0,
2026-09-01,24839,Harmony Haven Companion Care LLC,30540,2026-05-20,Suspended,InsufficientBalance,2026-06-14,1,1,1,0,1,0,0.00,0,
2026-09-01,14955,"Path to Recovery, LLC",31733,2026-07-24,Suspended,InsufficientBalance,2026-08-14,1,1,1,0,2,0,0.00,0,
2026-09-01,23767,Dream Living Support Services,29220,2026-03-10,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,2,0,-35.00,0,
2026-09-01,24967,Compassionate Helping Hands Home Care LLC,30699,2026-05-28,Active,,2026-08-30,1,1,0,0,1,1,-580.00,1,2026-07-13
2026-09-01,24032,Agy Home Care,29551,2026-03-26,Suspended,InsufficientBalance,2026-06-24,1,1,1,0,1,0,-23.00,0,
2026-09-01,25436,Priority Caregivers of Atlanta,31289,2026-06-30,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,1,0,0.00,0,
2026-09-01,23393,"The Given Hour In-Home Care, LLC",28767,2026-02-13,Suspended,InsufficientBalance,2026-08-11,1,1,1,0,2,0,0.00,0,
2026-09-01,25553,Emerald Home Health LLC,31447,2026-07-09,Suspended,InsufficientBalance,2026-09-02,1,1,1,0,2,0,0.00,0,
2026-09-01,24833,"Mcleod Loving Care - Sumter, SC",30532,2026-05-19,Suspended,InsufficientBalance,2026-07-05,1,1,1,0,1,0,0.00,0,
2026-09-01,25087,SafeHaven Home Care Services,30852,2026-06-05,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,15.04,0,
2026-09-01,18950,Osmeg Care Inc,28748,2026-02-11,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,1,0,0.00,0,
2026-09-01,23167,Warm Heart Caring LLC,28473,2026-01-29,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,2,0,0.00,0,
2026-09-01,25572,Chance Chasers Homecare LLC,31478,2026-07-10,Suspended,InsufficientBalance,2026-08-11,1,1,1,0,1,0,0.00,0,
2026-09-01,24602,Aniyas Heart Home Care,30263,2026-05-05,Suspended,InsufficientBalance,2026-08-11,1,1,1,0,1,0,0.00,0,
2026-09-01,24333,Essential Elevations,29916,2026-04-16,Suspended,InsufficientBalance,2026-07-14,1,1,1,0,1,0,0.00,0,
2026-09-01,22072,Zebra Care LLC,30050,2026-04-23,Suspended,InsufficientBalance,2026-07-01,1,1,1,0,1,0,0.00,0,
2026-09-01,23235,"North Florida Adult Training Center, LLC ",28837,2026-02-18,Suspended,InsufficientBalance,2026-07-10,1,1,1,0,2,0,0.00,0,
2026-09-01,15419,"Royal Treatment Health Care Services, Inc - MD",31165,2026-06-23,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,0.00,0,
2026-09-01,23838,SERENITY HOME HEALTH & CAREGIVER SERVICE LLC,29309,2026-03-16,Suspended,InsufficientBalance,2026-07-01,1,1,1,0,2,0,0.00,0,
2026-09-01,24925,Mujang's Care,30651,2026-05-27,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,-23.00,0,
2026-09-01,24320,Independent Kareblazers LLC,29901,2026-04-15,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,-23.00,0,
2026-09-01,25468,Kandrea Health LLC,31330,2026-07-01,Suspended,InsufficientBalance,2026-08-17,1,1,1,0,2,0,-58.00,0,
2026-09-01,24726,Goodwill Foundation INC.,30414,2026-05-13,Suspended,InsufficientBalance,2026-07-17,1,1,1,0,2,0,0.00,0,
2026-09-01,23259,QUALITY HOME HEALTH CARE SERVICES,28594,2026-02-04,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,-23.00,0,
2026-09-01,24413,Archangels Personal Care LLC,30012,2026-04-22,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,1,0,0.00,0,
2026-09-01,12941,The Right Choice Senior Services LLC (Parent),29847,2026-04-13,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,0.00,0,
2026-09-01,24953,Jevi Home Care LLC,30681,2026-05-28,Suspended,InsufficientBalance,2026-08-20,1,1,1,0,1,0,0.00,0,
2026-09-01,24147,C.A.R.E AGENCY LLC,29684,2026-04-02,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,0.00,0,
2026-09-01,23605,VLAD HOME CARE SOLUTIONS LLC,29032,2026-02-27,Suspended,InsufficientBalance,2026-07-01,1,1,1,0,2,0,0.00,0,
2026-09-01,24692,JLT Divine Home Care Services,30365,2026-05-11,Suspended,InsufficientBalance,2026-07-15,1,1,1,0,2,0,0.00,0,
2026-09-01,23949,"Care4u Living Services, LLC",29456,2026-03-23,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,0.00,0,
2026-09-01,23128,Positioned By Grace LLC,28421,2026-01-27,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,0.00,0,
2026-09-01,24845,ZoeCare Home Care Services,30548,2026-05-20,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,0.00,0,
2026-09-01,25173,"A Nurse Angels Home Health, Inc of Arlington, TX",30952,2026-06-11,Suspended,Account Suspended,2026-09-01,1,1,1,0,2,0,-232.00,0,
2026-09-01,25492,F.A.B. Home Care Services,31366,2026-07-06,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,2,0,0.00,0,
2026-09-01,24933,Angelic Hearts Home Care,30661,2026-05-27,Suspended,InsufficientBalance,2026-08-26,1,1,1,0,2,0,0.00,0,
2026-09-01,9548,"Dorothy Jean Comprehensive Nursing Community, LLC",30094,2026-04-27,Suspended,InsufficientBalance,2026-07-01,1,1,1,0,1,0,0.00,0,
2026-09-01,25829,Emmanuel Home Care Agency LLC,31846,2026-07-31,Suspended,Account Suspended,2026-09-01,1,1,1,0,1,0,-174.00,0,
2026-09-01,10263,Hajmoud Homecare Health Agency LLC,28053,2026-01-06,Suspended,InsufficientBalance,2026-07-01,1,1,1,0,2,0,0.00,0,
2026-09-01,25667,Faith Bridge Home Care Services LLC,31624,2026-07-20,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,1,0,0.00,0,
2026-09-01,25328,Supportive Steps Living LLC,31141,2026-06-22,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,0.00,0,
2026-09-01,16166,Grace Home Care,29747,2026-04-07,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,1,0,-23.00,0,
2026-09-01,23372,I Care 4 Your Care LLC,28741,2026-02-11,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,1,0,0.00,0,
2026-09-01,25869,"Compassionate Angels Home Care Services,",31901,2026-08-04,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,0.00,0,
2026-09-01,24383,Abundant Hearts Homecare,29976,2026-04-21,Suspended,InsufficientBalance,2026-06-14,1,1,1,0,1,0,0.00,0,
2026-09-01,25577,Luxury Manor Home Care,31488,2026-07-13,Suspended,InsufficientBalance,2026-08-11,1,1,1,0,1,0,0.00,0,
2026-09-01,23867,Happy to Help Caregiving - Pocatello ID,29343,2026-03-17,Suspended,InsufficientBalance,2026-06-15,1,1,1,0,1,0,0.00,0,
2026-09-01,25333,Care Coverage Healthcare Staffing LLC,31150,2026-06-23,Suspended,InsufficientBalance,2026-08-04,1,1,1,0,2,0,0.00,0,
2026-09-01,25245,No Better Love LLC,31042,2026-06-17,Suspended,InsufficientBalance,2026-07-10,1,1,1,0,2,0,0.00,0,
2026-09-01,20678,Perfect Homecare LLC,31068,2026-06-18,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,2,0,0.00,0,
2026-09-01,5813,"Care Given at Home - West Hartford, CT",29690,2026-04-02,Suspended,InsufficientBalance,2026-09-01,1,1,2,0,4,0,35.00,0,
2026-09-01,25786,My Choice Senior Care,31792,2026-07-28,Suspended,InsufficientBalance,2026-08-06,1,1,1,0,2,0,0.00,0,
2026-09-01,24658,We Care 4 You Independent living LLC,30324,2026-05-08,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,0.00,0,
2026-09-01,6823,1 A A Premier Home Care,31009,2026-06-15,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,0.00,0,
2026-09-01,24872,T-Trans Home Health LLC,30581,2026-05-21,Suspended,InsufficientBalance,2026-07-28,1,1,1,0,1,0,0.00,0,
2026-09-01,25715,Good Heart Care Agency LLC,31696,2026-07-23,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,0.00,0,
2026-09-01,24358,Allied Home Care LLC,31452,2026-07-09,Suspended,InsufficientBalance,2026-09-01,1,1,5,0,5,0,0.00,0,
2026-09-01,20101,"Shalom Homecare Solutions, LLC",32037,2026-08-13,Suspended,Account Suspended,2026-09-01,1,1,1,0,1,0,-116.00,0,
2026-09-01,25166,Aonesty Home Health Care LLC,30945,2026-06-11,Suspended,InsufficientBalance,2026-07-21,1,1,1,0,1,0,0.00,0,
2026-09-01,24289,LIIMU CARE FOUNDATION LLC,29868,2026-04-14,Suspended,InsufficientBalance,2026-08-18,1,1,1,0,2,0,0.00,0,
2026-09-01,16300,Stark Youth Technology Center Co.,31111,2026-06-22,Suspended,InsufficientBalance,2026-06-28,1,1,1,0,2,0,0.00,0,
2026-09-01,24666,ANUME HOME CARE LLC,30336,2026-05-08,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,0.00,0,
2026-09-01,25324,"Compassionate Concierge Care, LLC",31137,2026-06-22,Suspended,InsufficientBalance,2026-08-09,1,1,1,0,2,0,0.00,0,
2026-09-01,25342,"Kilmanjaro Home Care, LLC",31159,2026-06-23,Suspended,InsufficientBalance,2026-09-08,1,1,1,0,1,0,0.00,0,
2026-09-01,23215,"THE WRIGHT HANDS CONNECTION, LLC",28547,2026-02-02,Suspended,InsufficientBalance,2026-09-08,1,1,1,0,1,0,0.00,0,
2026-09-01,25145,Best In Town Home Care Services LLC,30919,2026-06-10,Cancelled,Lead Quality,2026-07-29,1,1,0,0,1,1,-580.00,1,2026-08-28
